GDP,Unemployment,Inflation,InterestRate,Swiss franc/Euro,Euro/Dollar,Euro/Uk,Stoxx50,Property Prices Ger,Property Prices UK,VIX
759122.2133333333,7.142836,91.1,4.83,1.4935,0.91819,1.3239,215.4952,101.7331,91.4381,46.52352857142857
747073.4866666667,7.229362,91.6,4.58,1.4904,0.88691,1.2785,200.3621,100.38463987884643,94.56698465306218,45.124615
735024.76,7.309538,91.4,4.42,1.5083,0.91966,1.305,184.6332,100.3599554039349,94.16725785050414,44.187163636363636
735628.66,7.388753,91.5,4.34,1.5147,0.89756,1.319,209.2919,100.184,92.6018,39.30816
736232.5599999999,7.468161,91.4,4.29,1.5118,0.88445,1.365,225.7355,100.3198679065575,94.01978040368456,34.49126
736836.46,7.533289,91.8,4.31,1.5148,0.8567,1.4016,226.7011,100.30419974693825,94.22710711262486,31.243999999999996
738360.5766666667,7.556713,91.7,4.31,1.5202,0.86092,1.4088,228.0121,99.9545,96.2594,29.364265217391306
739884.6933333334,7.525351,92.0,4.28,1.5236,0.86265,1.4268,250.7171,100.28006320391702,95.09416672133528,28.212742857142853
741408.81,7.45031,91.6,4.22,1.5148,0.89135,1.4562,263.9614,100.27229185538047,95.66782867878673,27.099190909090908
743306.7566666667,7.350749,91.6,4.17,1.5138,0.91557,1.4816,268.7252,100.2817,98.0881,26.769063636363637
745204.7033333334,7.247757,91.5,4.14,1.5105,0.89892,1.4914,265.433,100.26414352543652,96.99769181220424,27.301514285714287
747102.65,7.15654,92.3,4.13,1.5021,0.89972,1.4614,270.06,100.26385046881492,97.6974465871841,24.882125
748914.0633333334,7.082429,91.7,4.08,1.4765,0.88305,1.4272,273.5175,99.1342,98.4206,23.93327
750725.4766666667,7.016938,92.0,4.06,1.4671,0.87604,1.3686,257.0253,100.27026270828677,98.93542553620415,26.817559999999997
752536.89,6.932963,92.5,3.96,1.4482,0.9016,1.3569,272.6469,100.27721227641942,99.47834639575234,21.35496956521739
757971.92,6.815492,92.4,3.97,1.4337,0.87456,1.3406,278.6206,99.8472,100.2494,23.42415
