GDP,Unemployment,Inflation,InterestRate,Swiss franc/Euro,Euro/Dollar,Euro/US
804427.56,5.1,96.86826333333333,1.4205016328700533,1.2015,0.80998,1.2814
806066.58,5.033333333333333,97.39691,1.3581706192358365,1.2035,0.79153,1.2502
803651.15,5.0,97.73898666666666,1.3674257924513666,1.208,0.8074,1.2967
799208.05,5.066666666666666,98.01886,1.47009090909091,1.2284,0.85111,1.3206
808525.29,4.966666666666667,98.32983666666667,1.3402604617604634,1.2315,0.85056,1.3062
812666.25,4.9,98.98287999999998,1.7295824706694267,1.2348,0.85453,1.3242
813873.99,4.8,99.04507666666666,1.7456981826547064,1.2294,0.84074,1.361
822371.37,4.8,99.20056333333333,1.6076601731601732,1.2237,0.82787,1.3696
822198.81,4.733333333333333,99.38714666666665,1.3493095238095234,1.2192,0.81471,1.3711
826770.92,4.7,99.82251000000001,0.9973006462136906,1.2115,0.79378,1.3256
833068.31,4.633333333333333,99.54262999999999,0.6996188197767146,1.2045,0.78911,1.2498
831257.1,4.5,99.14985999999999,0.30642424242424227,1.0722,0.74336,1.1261
835570.32,4.4,100.35003333333334,0.4901722488038276,1.041,0.72105,1.1053
840056.21,4.3,100.5501,0.6575541125541126,1.0723,0.71735,1.1117
844369.43,4.2,99.94998,0.5266240981240978,1.0848,0.72203,1.0953
851788.78,4.066666666666666,99.44991666666665,0.2582619047619046,1.096,0.77037,1.102
853686.59,4.0,100.48343333333332,0.08344155844155841,1.0961,0.78678,1.1292
856705.92,3.8666666666666667,101.05016666666667,-0.12337191793713537,1.0889,0.84973,1.1166
860674.16,3.7000000000000006,100.98353333333334,0.14766522366522358,1.0798,0.86908,1.0789
871845.7,3.6333333333333333,101.08353333333332,0.28572332015810264,1.0694,0.86009,1.0648
878057.21,3.5666666666666664,101.91699999999999,0.27079846079846065,1.0842,0.86112,1.1021
885045.01,3.466666666666667,102.6171,0.38298136645962727,1.1312,0.89779,1.1746
894017.13,3.4,102.41706666666666,0.325841307814992,1.1622,0.88731,1.1774
889078.01,3.2999999999999994,102.4171,0.5543564213564216,1.1653,0.88337,1.2292
896065.73,3.2000000000000006,103.68393333333334,0.41904761904761895,1.1742,0.87616,1.1915
890199.42,3.1666666666666665,104.55076666666666,0.31197167325428193,1.1445,0.89237,1.1629
894167.82,3.1,104.45076666666667,0.3000802139037433,1.1365,0.88665,1.1414
900034.02,3.0,103.8173,0.066393217893218,1.1324,0.87251,1.1358
900551.64,2.9,105.4509,-0.16310287081339733,1.1265,0.87477,1.1237
904002.41,2.9,106.08436666666667,-0.544037894472677,1.096,0.90209,1.1119
900983.03,3.0,105.75096666666667,-0.3737902837902836,1.0962,0.86078,1.1071
882694.15,3.3000000000000003,105.49866666666667,-0.44033333333333324,1.0668,0.86225,1.1027
804362.8,3.6666666666666665,105.88523333333335,-0.46676190476190454,1.0614,0.88741,1.1014
874153.66,3.8333333333333335,105.1121,-0.5234892402283705,1.0754,0.90504,1.1689
882607.92,3.7999999999999994,105.21753333333334,-0.6135115440115441,1.0779,0.90335,1.1929
877173.08,3.9,107.0801,-0.46459420289855063,1.0913,0.87393,1.2048
897791.11,3.6999999999999997,108.20466666666665,-0.27904545454545465,1.0978,0.86209,1.2058
898567.5,3.4333333333333336,109.1887,-0.450909090909091,1.0825,0.85528,1.1788
903398.5,3.4,110.17266666666667,-0.3007359307359306,1.0542,0.84788,1.1435
909523.53,3.233333333333333,112.21096666666666,0.10565907522429259,1.0364,0.83641,1.1217
910903.8,3.1,115.40896666666667,1.0480143540669857,1.0273,0.84848,1.0647
913578.11,3.1666666666666665,117.2715,1.3039023778154233,0.9732,0.85632,1.007
910386.22,3.1,119.62606666666666,2.1127561327561364,0.9832,0.86965,1.0205
906094.38,3.0,121.45353333333333,2.3155685111989466,0.9925,0.88309,1.073
905404.2,3.0,122.96466666666667,2.3593602693602698,0.9783,0.86934,1.0887
905404.24,3.0666666666666664,123.84319999999998,2.5545824706694265,0.9616,0.85966,1.0884
902902.41,3.2000000000000006,123.87833333333333,2.5088835725677834,0.9546,0.86695,1.0751
901931.96,3.266666666666667,124.51093333333334,2.285316738816736,0.9491,0.85627,1.0858
899602.69,3.3666666666666667,125.77606666666667,2.4832532467532467,0.9739,0.85303,1.0767
899775.22,3.4,126.23293333333334,2.277710333145117,0.9517,0.84506,1.0983
901414.35,3.466666666666667,126.7249,2.238056130664827,0.9361,0.83241,1.0681
904174.88,3.5666666666666664,127.32236666666667,2.5435216450216434,0.9458,0.83574,1.0523
